user_id,integration_id,authentication_provider_id,login_id,password,first_name,last_name,full_name,sortable_name,short_name,email,status
#########,null,null,#########,null,Bill T.,Duncan,Bill T. Duncan,"Duncan, Bill T.",Bill Duncan,bill@tamu.edu,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,suspended
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,suspended
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
,,,,,,,,,,,active
