Assessment ID,Form,Assessment Type,Assessment Method,Assessor Type,Assessor,Target,Task Type,Course Code,Course,Distribution,Rotation,Rotation Start Date,Rotation End Date,Preceptor(s),Clinical Location,Status,Event,Event Date,Delivery Date,Completion Date,Flagged,What is the basis for your evaluation of this student? (Please check all that apply),"Please provide constructive summaries that MAY be used for Deans Letter. Please comment on the student’s performance in the following core competencies: professionalism, patient care & procedural skills, medical knowledge, practice-based learning & improvement, interpersonal & communication skills and systems-based practice.",Please provide additional constructive comments that WILL NOT BE USED be used for Deans Letter. These comments guide improvement of the student&#8217;s performance.,"<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><strong><u><span style=""line-height:107%;"">Medical Knowledge:</span></u></strong><span style=""line-height:107%;""><strong> </strong>Demonstrates knowledge of basic, clinical, pathophysiologic, social, and health systems sciences, as well as humanities, needed for clinical practice</span></span></span></span></p>","<span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><strong><u><span style=""line-height:107%;"">Medical Knowledge:</span></u></strong><span style=""line-height:107%;""> Accesses knowledge relevant to clinical problems using appropriate resources, including emerging technologies.</span></span></span></span>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><strong><u><span style=""line-height:107%;"">Patient Care &amp; Procedural Skills</span></u></strong><span style=""line-height:107%;""><strong>:</strong> Creates and prioritizes differential diagnoses</span></span></span></span></p>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Patient Care &amp; Procedural Skills:</span></u><span style=""line-height:107%;""> </span></b><span style=""line-height:107%;"">Proposes hypothesis-driven diagnostic testing and interprets results</span></span></span></span></p>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Practice- Based Learning &amp; Improvement</span></u><span style=""line-height:107%;"">: </span></b><span style=""line-height:107%;"">Identifies opportunities for growth in one&#8217;s own performance through informed self-assessment and reflective practice</span></span></span></span></p>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Interpersonal &amp; Communication Skills</span></u><span style=""line-height:107%;"">: </span></b><span style=""line-height:107%;"">Collaborates with healthcare and administrative team members to enhance team and organizational function</span></span></span></span></p>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Interpersonal &amp; Communication Skills:</span></u><span style=""line-height:107%;""> </span></b><span style=""line-height:107%;"">Demonstrates skills in educating patients, caregivers, peers, and team members</span></span></span></span></p>","<span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">System-Based Practice:</span></u><span style=""line-height:107%;""> </span></b><span style=""line-height:107%;"">Collaborates in transitions and coordination of patient care</span></span></span></span>","<p><span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Professionalism:</span></u><span style=""line-height:107%;""> </span></b><span style=""line-height:107%;"">Takes ownership of mistakes and acts to address them</span></span></span></span></p>","<span style=""font-size:12px;""><span style=""font-family:Arial, Helvetica, sans-serif;""><span style=""line-height:107%;""><b><u><span style=""line-height:107%;"">Professionalism:</span></u><span style=""line-height:107%;""> </span></b><span style=""line-height:107%;"">Identifies personal limits of knowledge and skills and seeks help appropriately</span></span></span></span>",Elective Grade
11665,Acting Internship Elective Evaluation,Distribution,default,external,Unknown Assessor,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,10/27/25,11/23/25,,,Not Started,,,1/18/26 22:31,,No,,,,,,,,,,,,,,
11947,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,7/7/25,8/3/25,,,Completed,,,1/22/26 11:40,1/22/26 11:41,No,Attending rounds,"Excellent performance! Brandon is very ready for intern year. He was taking the time and effort to look through previous admission and outside records for each and every patient. He gave very good differentials, was willing to help, and has excellent bedside manner. He is one of the best medical students in the top 10% I've ever worked with!","Continue reading! You have a great base as a 4th year. Medical knowledge is a craft that comes with time. However, you are at a good stage as a 4th year.","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
11947,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,7/7/25,8/3/25,,,Completed,,,1/22/26 11:40,1/22/26 11:46,No,Discussion about the student with other faculty/evaluators,"I had one week with Duncan. It was. It was pretty good. He was monitoring the pulse during transportation for the team. The team was impressed with that. His Ekg skill set was better than some interns. He was very invested. He offered to call consultants. He was very kind, compassionate, communicator, interested in reading, looked at images, was very efficient in thorough presentations. He presents patients. He presents early. He came early to do the work everyday. The residents thought that he had an intern level work effort!",No areas of concern,Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
11948,Acting Internship Elective Evaluation,Distribution,default,internal,Fname Lname,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,9/1/25,9/28/25,,,Completed,,,1/22/26 11:50,1/22/26 11:51,No,Attending rounds,Keep up the great work!,Keep up the great work!,Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
11949,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,9/1/25,9/28/25,,,Completed,,,1/22/26 11:53,1/22/26 11:55,No,Discussion about the student with other faculty/evaluators,"I had Emily for 4 weeks. she had good HPIs, thorough presentations, and always asked really good questions.",Come up with plans and look to take on more patients.,Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
11949,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,9/1/25,9/28/25,,,Completed,,,1/22/26 11:53,1/26/26 7:05,No,Discussion about the student with other faculty/evaluators,"She was very detailed orientated, well organized, displayed excellent communication skills with the team, often asked great questions. She developed a nice H/P, and had 5 pts most days but was willing to pick up pts- proactively!",Work on confidence for your strong answers. Be more concise.,"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
11950,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,IMED 896,INTERNAL MEDICINE AI,IMED 896 - INTERNAL MEDICINE AI Student Assessment,INTERNAL MEDICINE AI,10/27/25,11/23/25,,,Completed,,,1/22/26 11:56,1/22/26 11:57,No,Presentation of patient,"Very professional, provided high quality care. Took feedback well and was eager to learn.",Continue to read up on learning gaps that are encountered for each patient.,Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Satisfactory- Student meets minimum standards for completion of rotation objectives
12500,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN FACULTY,Fname Lname,assessment,OBGY 917,GYNECOLOGY ONCOLOGY ACT INTERN,OBGY 917 - GYNECOLOGY ONCOLOGY ACT INTERN Student Assessment,GYNECOLOGY ONCOLOGY ACT INTERN,1/5/26,2/1/26,,,Completed,,,1/29/26 13:24,1/29/26 13:27,No,Presentation of patient,"Megan did an excellent job on the rotation. She was well prepared, thoughtful, interested and was a great asset to the team. She is mature, took time to teach the junior medical students and was eager to learn.",Keep up the good work!,"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)","Level 4- Needs almost no redirection, persistently performing at 4th year level or higher (Performs effectively and efficiently in an internship role)",Satisfactory- Student meets minimum standards for completion of rotation objectives
12501,Acting Internship Elective Evaluation,Distribution,default,internal,UNKNOWN1 FACULTY,Fname Lname,assessment,OBGY 917,GYNECOLOGY ONCOLOGY ACT INTERN,OBGY 917 - GYNECOLOGY ONCOLOGY ACT INTERN Student Assessment,GYNECOLOGY ONCOLOGY ACT INTERN,1/5/26,2/1/26,,,Completed,,,1/29/26 13:24,1/29/26 13:28,No,Discussion about the student with other faculty/evaluators,"Megan is a dedicated student who engages in learning enthusiastically and demonstrates professionalism. She is inquisitive and thoughtful. She is a helpful team member and quickly learned routine floor and OR preparation tasks. She was a team player and a resource for other medical students on the team, demonstrating leadership and a willingness to teach.","With additional reading and preparing in the rest of medical school, Megan will be prepared for intern year.","Level 2- Needs some redirection or support, but teachable and improving (Mostly meets expectations for an incoming intern)","Level 2- Needs some redirection or support, but teachable and improving (Mostly meets expectations for an incoming intern)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 2- Needs some redirection or support, but teachable and improving (Mostly meets expectations for an incoming intern)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),"Level 2- Needs some redirection or support, but teachable and improving (Mostly meets expectations for an incoming intern)","Level 2- Needs some redirection or support, but teachable and improving (Mostly meets expectations for an incoming intern)",Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Level 3- Needs little redirection and support in completing skill (Performs at an early intern level),Satisfactory- Student meets minimum standards for completion of rotation objectives
12565,Acting Internship Elective Evaluation,Distribution,default,internal,Fname Lname,Fname Lname,assessment,MFCM 806,FAMILY MED ACTING INTERNSHIP,MFCM 806 - FAMILY MED ACTING INTERNSHIP Student Assessment,FAMILY MED ACTING INTERNSHIP,1/5/26,2/1/26,,,Not Started,,,1/30/26 12:06,,No,,,,,,,,,,,,,,
